satirical,body
0,"Filho de Bolsonaro confirma previsão de alta hospitalar para sexta-feira. Caso não haja nenhum agravamento no estado de saúde do candidato à Presidência Jair Bolsonaro (PSL), os médicos do hospital Albert Einstein, localizado na zona sul de São Paulo, projetam conceder alta na próxima sexta-feira (28), nove dias antes do primeiro turno das eleições. Depois de ser liberado, Bolsonaro deve ir para sua casa no Rio de Janeiro.
""Se Deus quiser, sexta-feira está em casa. Da casa dele vai ser o quartel-general, de onde vai continuar dando suas ordens e bater o martelo sobre as decisões da campanha.
 disse Flávio Bolsonaro, um de seus filhos, após visitá-lo no hospital.
""Amanhã está previsto tirar o resto dos pontos na barriga.
 declarou. Questionado se havia a possibilidade de o candidato sair antes de sexta-feira, respondeu: ""Ele evolui bem rápido, por ser do Exército, por ter se adaptado bem... Mas a previsão é de sexta-feira em casa, com a família"".
Segundo o boletim médico desta segunda-feira, Bolsonaro continua evoluindo bem e apresenta boa aceitação à ""dieta leve"" determinada pela equipe médica. De acordo com a nota, que não traz previsão de alta, ele permanece ""sem dor, sem febre ou sinais de infecção"".
Na sexta-feira (21), Bolsonaro disse que previa receber alta até o fim deste mês. ""Nunca me senti tão bem em toda a minha vida. Meu muito obrigado a todos vocês. Até o final do mês, se Deus quiser, estarei de alta, onde então juntos enfrentaremos o 7 de outubro, novo marco no rumo do nosso Brasil.
 afirmou o líder nas pesquisas.
A família aponta que, mesmo que ele seja liberado a nove dias do primeiro turno, o candidato não fará campanha nas ruas até o dia 7 de outubro, data do primeiro turno.
O candidato terá a orientação de repousar o máximo possível assim que deixar o hospital. Ele deve receber acompanhamento médico durante o repouso, nas próximas semanas.
Ainda não está definida a estratégia pós-alta, mas integrantes da campanha estão começando a se movimentar. Luciano Bivar, presidente de honra do PSL, diz que Bolsonaro deve continuar em campanha como tem feito desde o ataque: por meio das redes sociais.
""Vai ser ele através de vídeos e textos na internet, e a campanha, com a gente, nas ruas. Além do próprio povo, que pede a mudança no país em todo lugar que a gente vá.
 disse Bivar.
Nesta segunda-feira, Bolsonaro comemorou a marca de 3 milhões de seguidores no Instagram. Já no Twitter, postou mensagem dizendo que antes de qualquer resultado nas urnas, tem encontrado nomes qualificados para compor o seu time.
Ao falar no hospital, Flávio Bolsonaro também negou que haja racha na campanha. ""Está todo mundo vestindo a camisa do Brasil, não tem nada de campanha rachada. O melhor plano continua sendo o do Jair, porque está olhando para o futuro do Brasil. Não existe racha com Paulo Guedes ou [Hamilton] Mourão.
 declarou.
""Estamos pensando em ganhar no primeiro turno. Se houver segundo turno, vai ser uma possibilidade de expormos nossas propostas.
 declarou Flávio. Questionado sobre as condições financeiras para produzir conteúdo ao segundo turno, ele respondeu: ""se nós chegamos até aqui do jeito que chegamos, isso não será um problema. Vamos fazer o melhor para vencer a eleição e tirar de vez por todas o PT do país"".
Bolsonaro foi esfaqueado por Adélio Bispo durante um ato de campanha em 6 de setembro deste ano na cidade de Juiz de Fora (MG).
Segundo a diretora técnica da Santa Casa de Misericórdia de Juiz de Fora, Eunice Dantas, onde Bolsonaro foi socorrido, o candidato perdeu quase metade do sangue do corpo após o ataque.
Na manhã do dia seguinte ao ataque, Bolsonaro foi transferido para São Paulo. Desde então, o estado de saúde do candidato oscilou. Ele chegou a sair da UTI (Unidade de Terapia Intensiva), mas voltou depois de uma cirurgia de emergência.
Na última semana, o estado de saúde de Bolsonaro se estabilizou. Ele passou a se alimentar via oral, está em um quarto e faz algumas caminhadas pelo hospital, acompanhado sempre da equipe médica."
0,"Após crítica de presidenciáveis, FHC reafirma que carta era para eleitores. O ex-presidente Fernando Henrique Cardoso reafirmou neste sábado (22), pelo Twitter, que a carta que escreveu pedindo união do centro político contra candidatos de ""visões radicais"" foi direcionada aos eleitores, e não aos presidenciáveis que estão concorrendo no pleito.
""Escrevi uma Carta aos eleitores e eleitoras, não aos candidatos ou aos partidos. Há meses repito ser necessário um 'centro popular e progressista'. Parece que na conjuntura água mole não racha pedra dura. O que não muda minhas convicções.
 escreveu FHC.
Na carta, divulgada na noite de quinta-feira (20), o ex-presidente, sem citar candidatos nominalmente, afirma que a eleição presidencial deste ano é um ""momento decisivo"" e que qualquer um dos extremos desta eleição --em alusão a Jair Bolsonaro (PSL) e Fernando Haddad (PT), líder e vice-líder nas pesquisas de intenção de voto-- terão dificuldades de adotar as medidas que, ele avalia, o país precisa.
Apesar de dirigir a carta aos eleitores, muitos interpretaram que ela foi direcionada aos próprios candidatos, indicando a união em torno de apenas um nome. Pouco depois da publicação, FHC reafirmou no Twitter apoio ao candidato do seu partido, Geraldo Alckmin (PSDB), dizendo que ele é ""quem veste esse figurino"".
A mensagem de FHC foi criticada por Ciro Gomes (PDT), Marina Silva (Rede), e Guilherme Boulos (PSOL). Já Alckmin disse ""concordar plenamente"" com a carta, mas afirmou que não procuraria candidatos. ""A ideia é uma reflexão junto ao eleitorado.
 afirmou o presidenciável tucano.
Na carta original, mesmo sem citar os candidatos nominalmente, FHC fez referências explícitas a Bolsonaro e Haddad, os dois primeiros colocados nas últimas pesquisas Datafolha e Ibope.
""A gravidade de uma facada com intenções assassinas haver ferido o candidato que está à frente nas pesquisas eleitorais deveria servir como um grito de alerta: basta de pregar o ódio, tantas vezes estimulado pela própria vítima do atentado. O fato de ser este o candidato à frente das pesquisas e ter ele como principal opositor quem representa um líder preso por acusações de corrupção mostra o ponto a que chegamos.
 disse.
""É preciso revalorizar a virtude da tolerância à política, requisito para que a democracia funcione. Qualquer dos polos da radicalização atual que seja vencedor terá enormes dificuldades para obter a coesão nacional suficiente e necessária para adoção das medidas que levem à superação da crise.
 escreveu o tucano.
""Sem que haja escolha de uma liderança serena que saiba ouvir, que seja honesto, que tenha experiência e capacidade política para pacificar e governar o país; sem que a sociedade civil volte a atuar como tal e não como massa de manobra de partidos; sem que os candidatos que não apostam em soluções extremas se reúnam e decidam apoiar quem melhores condições de êxito eleitoral tiver, a crise tenderá certamente a se agravar.
 avaliou.
Fernando Henrique já declarou publicamente apoio ao candidato do PSDB, Geraldo Alckmin, e tem dito ver no presidenciável qualidades que avalia importantes para o momento do país, como a tolerância e o fato de ser um democrata.
Alckmin, no entanto, ainda não conseguiu decolar nas pesquisas de intenção de voto e, para tentar melhorar seu desempenho e buscar chegar ao segundo turno, decidiu subir o tom tanto contra Bolsonaro quanto contra o PT.
*Com Reuters"
0,"Semelhantes na fala, distintos no estilo, Haddad e Ciro disputam a esquerda. Próximo à reta final do primeiro turno, marcado para 7 de outubro, e em momento em que pesquisas de intenção de voto afunilam os presidenciáveis com mais chances de vencer o pleito, os candidatos à Presidência Fernando Haddad (PT) e Ciro Gomes (PDT) disputam os votos de eleitores de esquerda e centro-esquerda. Cada um com suas particularidades, mas também semelhanças ao buscar esse objetivo.  De acordo com pesquisa Datafolha de 20 de setembro, ambos aparecem atrás de Jair Bolsonaro (PSL), que tem 28% das intenções de voto, e hoje brigam por uma vaga no segundo turno. Haddad tem 16% e Ciro, 13%. A margem de erro é de dois pontos percentuais para mais ou para menos. Já na pesquisa Ibope desta segunda-feira (25), Haddad tem 22% e Ciro, 11%.  No último final de semana, por exemplo, ambos escolheram passar por Minas Gerais, por Pernambuco e outros estados do Nordeste em campanha. Os dois primeiros são os líderes em eleitores sem candidato definido ou que pretendem votar em branco ou nulo, segundo a mesma pesquisa, em comparação com outros estados pesquisados (São Paulo, Rio de Janeiro e Distrito Federal). Em Pernambuco, o índice chega a 16%. Em Minas, 14%. A média nacional é de 12%.
Tanto Haddad quanto Ciro sabem que precisam agradar o eleitorado lulista a fim de se firmarem como a figura da esquerda nestas eleições e abocanhar os indecisos. Para tanto, têm apostado em um discurso voltado a políticas sociais com ênfase na população mais pobre e às injustiças sociais. Em eventos no fim de semana, os dois ressaltaram a necessidade de gerar empregos e melhorar a educação no país.  ""O Brasil neste dia está com 13,7 milhões de pessoas desempregadas. O Brasil está hoje com 32,2 milhões vivendo de bicos. 63 milhões estão com o nome sujo no SPC. Não podem ser números frios.
 disse Ciro Gomes no Recife.  ""[O dinheiro do petróleo brasileiro] é suficiente para fazer do Brasil uma grande nação de classe média em 15 a 20 anos se for aplicado de forma correta educando nossos jovens, qualificando nossa população para o trabalho inovador, para uma indústria 4.0. Para um conjunto de coisas que estamos até longe de pensar nelas quanto mais introduzir nas escolas.
 falou, ainda na capital pernambucana.  Em Ouro Preto (MG), Haddad comentou propostas de educação em seu plano de governo e ressaltou ações passadas do partido na área. ""Não era justo universidade pública só com gente de classe média e classe alta e os egressos da escola pública ficarem nas escolas particulares ou fora da universidade.
 disse, ao comentar a construção de universidades federais nos governos PT.   Ao anunciar que iria gravar programa de televisão no Instituto Federal de Minas Gerais em Betim, na região metropolitana de Belo Horizonte, Haddad falou que é preciso ""assumir compromissos com o ensino médio deste país que precisa do apoio federal"".  Temas idênticos nos discursos foram ainda a revogação da emenda constitucional que limita os gastos públicos pelos próximos 20 anos e a maior tributação a instituições financeiras.
Os dois candidatos têm andado pelas ruas das cidades por onde passam e discursado para a população local, atendendo aos pedidos de selfies dos eleitores. Nas passeatas, ambos contam com a escolta da Polícia Federal, que costuma formar um cordão em volta dos políticos, mas sem impedir a aproximação deles com o povo.  No entanto, se Ciro já dançou forró junto a militantes e gosta de apresentar o jingle da campanha, Haddad é mais tímido para mostrar os dotes de dançarino. Em cima de trio elétrico em Betim, enquanto a ex-presidente e candidata ao Senado Dilma Rousseff (PT) se mostrava à vontade com músicas de campanha, Haddad arriscou poucos passos e resolveu esperar a vez de falar ao microfone.
Haddad também é mais comedido ao fazer ataques a adversários do que Ciro. Nos discursos, Haddad faz críticas ao governo do presidente Michel Temer (MDB) e aos adversários. No entanto, em alguns casos, evita citar nomes. Até mesmo quando concorrentes não diretos são criticados, Haddad faz questão de acalmar os ânimos.  Na sexta (21), em Ouro Preto, quando a militância petista começou a gritar ""Aécio virou pó.
 em referência ao senador Aécio Neves (PSDB-MG), com uma empolgada Dilma ao lado, o presidenciável petista pediu que os gritos cessassem.  ""Tá errado isso aí, que isso?.
 falou, um pouco sem jeito.  Questionado pelo UOL sobre a fala de Geraldo Alckmin (PSDB) de que Bolsonaro é ""passaporte para a volta do PT ao poder"" e que Ciro o chama de ""poste de Lula como Dilma"" e potencial ""presidente por procuração.
 Haddad se desculpou e declinou apenas com ""eu não vou comentar, não"".  Ao ser questionado em coletiva sobre um eventual apoio do Ciro a ele ou vice-versa em um segundo turno, Haddad desconversou e preferiu não criar intriga. ""O Ciro...às vezes diz uma coisa. Outras vezes diz outra. Eu gosto dele. Eu gosto do Ciro. É verdade mesmo. Mesmo ele.... às vezes....[ele é] amigo nosso.
 afirmou.  Indagado de que forma o PT pretende angariar os votos dos eleitores tucanos que rejeitam Bolsonaro em um eventual segundo turno, disse: ""Não vamos antecipar isso porque ainda tem muito chão pela frente. São duas semanas. A gente sabe que as coisas estão muito instáveis. Nós temos de levar nossa mensagem à população, nossa confiança de que temos o melhor projeto"".  Ciro Gomes, por sua vez, é conhecido por ser mais esquentado e não mede esforços para criticar os adversários ao Planalto. Ele subiu o tom contra Haddad nos últimos dias, sempre ressaltando não ter ""nada pessoal"" contra o petista. Nos comícios, se declara o ""único candidato nordestino.
 em contraposição ao pupilo de Lula – embora nascido em Pindamonhangaba, em São Paulo, Ciro construiu a carreira política no Ceará.  ""A pergunta minha é simples. O Haddad conhece mais o Nordeste do que eu? Porque candidatura é assim. A gente tem de comparar.
 questionou Ciro no domingo (23). Ele emendou dizendo que Haddad demoraria os quatro anos de mandato presidencial para descobrir o que é o Arco Metropolitano do Recife e localizar cidades do interior nordestino.  Outras falas contra Haddad incluem que ""o Brasil não pode ter outra Dilma"" nem um presidente ""fraco"" e que o substituto de Lula cumpre um ""papelão"" na campanha.  As falas mais ácidas de Ciro são destinadas a Bolsonaro e equipe. Para o deputado federal, são reservadas palavras como ""nazista"" e ""f**** da p***"". Para o vice na chapa de Bolsonaro, general Hamilton Mourão, ""jumento de carga.
 ""vagabundo"" e ""doente mental""."
0,"Após desistência de Barbosa, Ciro coloca aliança com PSB como 'prioridade zero'. Com a saída da corrida presidencial do ministro aposentado do Supremo Tribunal Federal Joaquim Barbosa, o pré-candidato do PDT, Ciro Gomes, colocou a aliança com o PSB como ""prioridade zero.
 informa o repórter Nilson Klava, da GloboNews .
O objetivo do candidato é conseguir uma aliança forte no campo da esquerda para só depois intensificar as tratativas com os partidos do chamado ""centrão"".
Nesta semana, o presidente do PDT, Carlos Lupi, teve uma reunião com o presidente do PSB, Carlos Siqueira, para avançar nas negociações.
""A prioridade total é a aliança com o PSB. Apesar de a política ser muito dinâmica, a perspectiva é boa.
 afirmou Lupi.
PDT e PSB estão construindo coligações em pelo menos uma dezena de estados. As dificuldades se concentram em São Paulo, Distrito Federal e Rio Grande do Sul.
Diante da aproximação, os partidos já estudam a possibilidade de o ex-prefeito de Belo Horizonte Marcio Lacerda, do PSB, ocupar a vaga de vice na chapa de Ciro.
O nome é bem avaliado no PDT, já que Lacerda é empresário e próximo a Ciro. Os pedetistas querem uma aproximação com o setor produtivo e, por isso, querem um vice desse setor.
Outro nome cogitado é do empresário Benjamin Steinbruch, que se filiou ao PP.
Mas, antes da aproximação com o centro, o PDT quer unificar a esquerda em torno do nome de Ciro Gomes, enfraquecendo um eventual “plano B” do PT na disputa por uma vaga no segundo turno."
0,"Conselho de Ética arquiva processo sobre João Rodrigues; deputado chora. O Conselho de Ética da Câmara decidiu nesta quarta-feira (11), por 12 votos a zero, arquivar o processo disciplinar que apurava a conduta do deputado João Rodrigues (PSD-SC).
Condenado a 5 anos e 3 meses de prisão por fraude e dispensa irregular de licitação quando era prefeito de Pinhalzinho (SC), João Rodrigues chegou a ser preso pela Polícia Federal em fevereiro, após determinação do Supremo Tribunal Federal (STF).
Em 7 de junho, o ministro Luís Roberto Barroso, do STF, autorizou o deputado a trabalhar durante o dia na Câmara.
João Rodrigues voltou a despachar do gabinete em 11 de junho ( saiba as regras às quais ele está submetido ).
Pouco antes de o Conselho de Ética decidir sobre o caso, João Rodrigues fez um discurso breve e chorou durante a fala aos demais parlamentares.
Logo após o conselho arquivar o caso, o deputado afirmou ter ficado ""muito aliviado"".
""A sensação é de alívio porque meus colegas deputados puderam se debruçar em cima de tudo que aconteceu, puderam avaliar que não cometi nenhum ato ilícito, não houve nenhum dano ao erário, não houve desvio de dinheiro. Não é possível que eu continue preso pagando por um crime que não pratiquei, que não ocorreu.
 declarou.
O deputado disse, também, que aguardará o julgamento, pelo STF, de recursos apresentados por ele no processo. Para Rodrigues, a prisão não é ""justa"" com o país.
""Já se passaram cinco meses, cinco meses que estou preso. Agora se eu cometesse algum desvio que fosse, aí tem que ser admitido, mas não tem dano. Não há desvio, não há razão para eu estar preso, dormir todos os dias na Papuda. Não é justo, não só comigo, mas com o país, com o meu estado, com as pessoas que acreditam em mim.
 concluiu."
0,"Vera Lúcia é entrevistada no Jornal Nacional. A candidata à presidência da República pelo PSTU, Vera Lúcia, deu entrevista ao 'Jornal Nacional'. Veja.
JN: Quais são as prioridades do seu plano de governo.
Vera Lúcia: A primeira tarefa é revogar todas as leis e medidas que foram feitas contra a classe trabalhadora brasileira, a exemplo da reforma trabalhista, da lei das terceirizações, do congelamento dos gastos através da PEC dos gastos, e mais do que isso, precisamos reduzir a jornada de trabalho sem redução de salário para que possamos abrir novas vagas para aqueles que estão desempregados hoje. E um plano de obras públicas que atendam às demandas da classe trabalhadora brasileira. E para isso nós precisamos não pagar a dívida pública que hoje é canalizado todos esses recursos, que é mais de 40% do orçamento, e que vai direto para os cofres de cinco bancos. E nós não podemos priorizar banqueiros em detrimento das necessidades da saúde, da educação e do emprego dos trabalhadores."
0,"Falta de segurança impede votação de presos no RJ e em mais quatro estados. Apenas 5% dos 244 mil presos provisórios do país poderão exercer seu direito de voto no primeiro turno das eleições este ano, a ser realizado no dia 7 de outubro.
Pela Constituição, aqueles que foram condenados com trânsito julgado (sem possibilidade de recurso) perdem seus direitos políticos e assim não podem votar. Já os presos de caráter provisório são aqueles que ainda estão à espera de julgamento e, portanto, continuam eleitores.
Vinte e um estados mais o Distrito Federal vão instalar urnas eletrônicas em seus presídios para exatos 12.346 encarcerados aptos a escolherem seus candidatos, de acordo com informações do TSE (Tribunal Superior Eleitoral).
Outros cinco estados decidiram que nenhuma de suas unidades prisionais receberá uma seção eleitoral: Rio de Janeiro, Mato Grosso do Sul, Rio Grande do Norte, Mato Grosso e Tocantins. São 34 mil presos provisórios nestes locais, de acordo com o sistema Geopresídios do CNJ (Conselho Nacional de Justiça).
Leia mais:
A falta de segurança e de estrutura das prisões e até ausência de interesse dos presos foram motivos alegados pelos TREs locais (Tribunais Regionais Eleitorais) para a decisão (leia mais abaixo).
Para especialistas ouvidos pelo UOL, existe ""falta de interesse"" das autoridades brasileiras em garantir esse direito a quem se encontra nas prisões.
Para o advogado e professor de direito processual penal João Rafael Oliveira, o vácuo criado pela falta de participação de detentos no processo eleitoral favorece as facções criminosas. ""Essas organizações ocupam esse espaço, já que esses presos não têm representatividade política"".
""Há uma flagrante má vontade e uma demonstração de fraqueza do estado brasileiro neste quesito. É mais um direito que é restringido da população prisional deste país.
 afirma Marcos Fuchs, advogado e diretor-adjunto da ONG Conectas Direitos Humanos.
""Há vários fatores que impedem que essas pessoas votem. Por exemplo, há casos em que o título do eleitor do preso é de uma cidade, mas é levado para uma cadeia localizada em outra zona eleitoral e ele fica sem votar.
 diz Fuchs, que foi membro do Conselho Nacional de Política Criminal e Carcerária, órgão federal.
Giuliano Gomes/PR Press/Estadão Conteúdo  Preso, ex-governador Sérgio Cabral não poderá votar nas eleições de 2018
Terceiro maior colégio eleitoral do país, o Rio de Janeiro tem pouco mais de 19 mil presos provisórios. Entre eles estão os deputados estaduais Edson Albertassi e Paulo Melo (ambos PMDB), detidos durante uma fase da Operação Lava Jato no estado e detidos, atualmente, no presídio de Benfica.
Condenado em primeira instância, porém ainda com possibilidade de recorrer da decisão judicial, o ex-governador Sergio Cabral é outro exemplo de preso que poderia, mas não irá exercer seu direito a voto. Não se sabe ao certo a quantidade de presidiários na mesma situação específica de Cabral.
O Rio de Janeiro está sob intervenção federal, com o Exército comandando o setor de segurança pública, desde o mês de fevereiro. A crise foi fator preponderante para ausência de urnas nas prisões do estado.
Nas eleições de 2014 e 2016, também não foram instaladas urnas nos presídios fluminenses. Há dois anos, a Procuradoria Regional Eleitoral chegou a firmar um convênio com o TRE-RJ (Tribunal Regional Eleitoral) e outros órgãos, a exemplo da secretaria de Administração Penitenciária, com objetivo de instalar seções eleitorais nestas unidades. Mas não houve avanço desde então.
Uma reunião com integrantes de diversos órgãos para discutir o assunto foi realizada em 28 de fevereiro. Os participantes concluíram que não haveria tempo para tomar as providências necessárias, a exemplo da instalação de kits biométricos em presídios para cadastramento de presos eleitores.
De acordo com o TRE-RJ, as medidas exigiriam um ""planejamento complexo de segurança, em período exíguo"".
""Tendo em vista a dimensão das providências necessárias e a proximidade do termo final para celebração do convênio ( 12 de março do corrente ano), deliberou-se pela impossibilidade de adoção das medidas pertinentes para a próxima eleição, mormente considerada a grave situação de segurança pública no estado, sendo expedido ofício ao TSE, esclarecendo tal conjuntura.
 afirmou o TRE-RJ, em resposta ao UOL.
Exatos 4.479 presos poderão votar em 82 seções eleitorais que serão instaladas nos presídios de São Paulo. As seções eleitorais são instaladas nos setores administrativos dos presídios. Serão quatro mesários para cada local de votação.
O órgão e o TRE paulista fizeram um levantamento em maio dos presidiários que demonstraram interesse em votar. No dia da votação, 7 de outubro, um esquema especial de segurança será montado nas prisões paulistas, inclusive com a presença de agentes do GIR (Grupo de Intervenção Rápida), destacamento especializado em agir em rebeliões.
Para escolher seus candidatos, os presos de São Paulo podem ver ou ouvir o horário político nas televisões e rádios em suas celas, afirma a SAP (Secretaria de Administração Penitenciária).
Beto Macário/UOL  Presos de facções rivais entram em confronto dentro da Penitenciária de Alcaçuz, no Rio Grande do Norte
Especializado em direito eleitoral, o advogado Tony Chalita avalia que outros fatores ajudam a impedir que presos sejam eleitores. Eles precisam informar seu interesse em votar à direção do presídio e ao TRE do estado em que se encontram encarcerados e estar com a documentação necessária: RG e título eleitoral.
""A votação nas prisões depende também das condições estruturais das unidades e de um número mínimo de presos para votar.
 diz Chalita, sócio coordenador do Departamento de Direito Político e Eleitoral do escritório Braga Nascimento e Zilio.
A legislação prevê que devem ser instaladas seções eleitorais nos estabelecimentos penais sempre que existirem pelo menos 20 eleitores em cada unidade. Os TREs do Rio Grande do Norte, Mato Grosso e Tocantins afirmaram em suas respostas que nenhuma prisão desses estados obteve esse número mínimo. Em grave de crise de segurança pública, o estado potiguar terá tropas federais durante o período eleitoral.
Com pouco mais de 3,7 mil presos provisórios, o Mato Grosso do Sul foi outro estado em que a ausência de segurança impossibilitou a abertura de seções eleitorais nos cárceres.
De acordo com o TRE-MS, as direções dos presídios estaduais alegaram número reduzido de agentes penitenciários e falta de salas adequadas."
0,"Lei da Ficha Limpa retira Lula e mais 173 candidatos das eleições, diz TSE. Dos 29.101 candidatos que pediram registro, a Justiça Eleitoral rejeitou 1.849, o que representa 6,35% do total. Segundo dados disponíveis no portal do Tribunal Superior Eleitoral (TSE), 174 candidatos foram julgados inaptos por causa da Lei da Ficha Limpa, entre eles o ex-presidente Luiz Inácio Lula da Silva, que disputaria o Palácio do Planalto pelo PT.
A falta de requisitos para registro - como a não comprovação de pleno exercício dos direitos políticos, alistamento eleitoral e filiação partidária - foi o principal motivo para indeferimento de candidaturas - 75,47% do total de pedidos. Treze candidatos foram considerados inaptos a disputar as eleições por abuso de poder e outros cinco por gasto ilícito de recursos.
A Justiça Eleitoral confirmou 27.252 candidaturas, um crescimento de 11,24% em relação a 2014, quando 26.162 disputaram as eleições gerais - presidente, governador, senador, deputado federal, estadual e distrital. Até agora, 682 candidatos renunciaram e três morreram.
Embora a corrida presidencial seja a mais discutida no país, a eleição para a Câmara Legislativa do Distrito Federal (CLDF) é a mais disputada: são 40,88 candidatos por vaga. A Câmara Legislativa tem 24 cadeiras e se apresentaram 981 concorrentes.
As 26 assembleias legislativas têm 1.035 cadeiras e 17.950 candidatos, o que dá em média 17,34 concorrentes por vaga. Para as 513 vagas na Câmara dos Deputados, são 8.595 postulantes (16,75 por vaga).
Do total de candidatos, 13 disputam a Presidência da República, 202 concorrem a governador dos 26 estados e do Distrito Federal e 358 postulam o Senado. Neste ano, estão em disputa duas cadeiras de senador por estado, totalizando 54 vagas.
O PSL foi o partido que lançou o maior número de candidatos país afora - 1.543, 5,3% do total. Além do presidenciável Jair Bolsonaro, 942 concorrem a deputado estadual, 488 a deputado federal, 24 a deputado distrital, 22 a senador, 14 a governador, 11 a vice-governador e 41 a suplente de senador.
Na sequência vêm o PSOL, com 1.347 concorrentes e o PT, com 1.309 candidatos. Além do presidenciável Guilherme Boulos, o PSOL lançou candidatos a governador em 25 estados. O PT tem candidato a presidente, Fernando Haddad, e disputa 16 governos estaduais."
0,"Planalto atribui tom bélico de Maia ao lançamento da pré-candidatura. O Palácio do Planalto atribui o tom bélico do presidente da Câmara, Rodrigo Maia, ao lançamento do nome dele como pré-candidato à Presidência pelo DEM. O evento partidário para oficializar a pré-candidatura de Maia deve acontecer no início de março.
Interlocutores de Michel Temer avaliam que Maia passou a demarcar território nesses últimos dias, principalmente depois de perceber que o próprio presidente também já trabalha com o cenário de disputar a reeleição .
Os ataques recentes de Maia têm incomodado o Planalto. O presidente da Câmara chamou de ""café frio e velho"" o pacote de 15 medidas para compensar o enterro da reforma da Previdência.
Ele também disse que não pautará pontos da reforma da Previdência por projeto de lei e, ainda, causou saia justa ao próprio Temer ao revelar que o presidente sugeriu imposto para financiar a segurança.
""O Maia já assumiu a postura de candidato. E decidiu atacar Temer para afastar sua imagem do presidente. É uma pena, pois Temer foi o principal articulador da reeleição dele para o comando da Câmara. Isso acontece quando Temer apresenta uma agenda de segurança com a intervenção no Rio de Janeiro.
 lamentou um auxiliar direto do presidente.
No DEM, a estratégia é lançar a pré-candidatura de Maia para testar o potencial do presidente da Câmara. Ele já tem costurado apoio junto aos partidos do Centrão, como o PP.
""Vamos avaliar a viabilidade de Maia. Como o cenário está muito pulverizado e Alckmin não tem demonstrado fôlego, está na hora de testar um candidato próprio.
 disse um cacique do DEM.
Como informou o blog, mesmo com as negativas oficiais de que Michel Temer prepara o terreno para se candidatar neste ano, o Palácio do Planalto já trabalha com o cenário de o presidente entrar na disputa eleitoral para defender o governo.
Num primeiro momento, Temer estudava lançar um nome para defender o legado do governo, mas com o afastamento do governador de São Paulo, Geraldo Alckmin (PSDB), o tom crítico de Rodrigo Maia (DEM) e as dificuldades eleitorais do ministro da Fazenda, Henrique Meirelles, ganhou força no governo a tese de eventual candidatura de Temer à reeleição."
0,"Após polêmica em torno da CPMF, Bolsonaro posta foto com economista Guedes. Jair Bolsonaro (PSL) publicou na manhã deste domingo (23), nas redes sociais, foto sorrindo ao lado do economista Paulo Guedes, que visitou o capitão reformado do Exército no hospital onde está internado desde que foi ferido à faca.
A publicação ocorre dias após Bolsonaro contradizer declaração do assessor econômico: Guedes havia citado, para uma palestra restrita, a possibilidade de criar um imposto nos moldes da CPMF e a unificação da alíquota do Imposto de Renda.
Na sequência, Bolsonaro escreveu em sua conta no Twitter que sua ""equipe econômica trabalha para redução de carga tributária, desburocratização e desregulamentações"".
O post de hoje tenta encerrar a polêmica que caracterizou a última semana:
Bolsonaro teria determinado que Guedes reduzisse suas atividades eleitorais para estancar o desgaste provocados pelas propostas dele para a economia. A campanha não confirma. Membros do núcleo de coordenação de campanha afirmaram no sábado que nenhum aliado sofre restrições em relação ao que deve falar publicamente. Mesmo assim, Guedes cancelou ao menos três eventos nos últimos dois dias.
Além dele, Bolsonaro também teria pedido para que o seu vice, general Hamilton Mourão, amenizasse o tom das declarações.  No dia 17, Mourão havia afirmado em palestra que crianças criadas por ""mãe e avó"" em áreas carentes tenderiam a se transformar em ""desajustados"" e serem cooptados por traficantes de drogas.
Mourão explicou aos companheiros de campanha que em sua fala sobre mães e avós se referia a uma situação em que um homem larga sua mulher e filhos e a mulher acaba forçada a trabalhar mais horas longe de casa para sustentar a família. Dessa forma, os filhos ficariam expostos a más influências.
Porém, a fala foi interpretada como discriminatória pelos opositores de Bolsonaro e por parcelas da sociedade."
