satira,body
0,"A Polícia Federal abriu nesta segunda-feira, 15, um inquérito para apurar negócios envolvendo o filho mais novo do presidente Jair Bolsonaro, Jair Renan Bolsonaro. A procuradoria da República no Distrito Federal aponta que apuração é derivada do procedimento preliminar que foi aberto pelo Ministério Público Federal para apurar possíveis crimes de tráfico de influência e lavagem de dinheiro envolvendo um grupo empresarial do setor de mineração o filho ’04’ de Bolsonaro."
0,"O ministro Marco Aurélio Mello, do Supremo Tribunal Federal (STF), decidiu levar para julgamento no plenário a ação apresentada pelo Partido Socialista Brasileiro (PSB) contra trechos da Lei de Improbidade Administrativa que preveem a perda de direitos políticos dos agentes públicos."
0,"A Polícia Federal prendeu na noite desta segunda, 15, no Aeroporto Internacional de São Paulo, quatro pessoas que tentavam transportar transportando drogas para a região nordeste do país e continente africano. Durante duas ações realizadas no porão de bagagens e junto aos balcões de check-in, agentes apreenderam 78 quilos de maconha e quatro de cocaína."
0,"Caso conceda nesta terça-feira, 16, decisões favoráveis ao senador Flávio Bolsonaro (Republicanos-RJ), o Superior Tribunal de Justiça (STJ) complicará ainda mais um processo marcado por paralisações e idas e vindas judiciais. Estão em pauta, na 5ª Turma da Corte, dois recursos do parlamentar e um de Fabrício Queiroz. Este é apontado como operador do suposto esquema de peculato, lavagem de dinheiro e organização criminosa que teria operado no gabinete de Flávio na Assembleia Legislativa do Rio, quando ele era deputado estadual. Por esses delitos, ambos foram denunciados à Justiça, com outras quinze pessoas, no ano passado."
0,"Todo extremismo parece perigoso. Conduz ao fanatismo. Cega a razão e intensifica a intolerância. É óbvio que existem múltiplas tonalidades para as opções políticas. O progressismo, por exemplo, congrega tanto os liberais modernos e social-democratas, como esquerdistas moderados, socialistas e comunistas. Podem se incluir no grande grupo os libertários e os neoconservadores."
0,"Dois jornalistas foram agredidos nesta segunda-feira, 15, enquanto trabalhavam na cobertura de manifestações a favor do presidente Jair Bolsonaro. As agressões ocorreram em Belo Horizonte e Salvador, e foram motivo de repúdio de entidades representativas."
0,"O Ministério Público do Trabalho do Distrito Federal está investigando o presidente da Fundação Palmares, Sérgio Camargo, por suposto assédio moral contra funcionários do órgão. O inquérito está em fase de colheita de depoimentos e dezenas de pessoas devem ser ouvidas nos próximos meses."
0,"A Quinta Turma do Superior Tribunal de Justiça (STJ) retoma nesta terça, 16, a partir das 14 horas, o julgamento de dois recursos da defesa do senador Flávio Bolsonaro (Republicanos-RJ) que podem esvaziar e comprometer de maneira crucial as investigações sobre o desvio de salários de funcionários do gabinete do filho mais velho do presidente na Assembleia Legislativa do Rio. As chamadas ‘rachadinhas’ ocorreram, de acordo com o Ministério Público do Rio, quando Flávio era deputado estadual."
0,"Nessa toada, duas das quatro maiores operadoras telefônicas do Brasil foram apontadas como responsáveis por esse megavazamento. Informação essa ainda não confirmada pelas autoridades e nem tão pouco a responsabilidade das operadoras telefônicas, que afirmam possuírem rígido controle nos acessos aos dados dos titulares. Cabe aqui ressaltar que, conforme determina o artigo 46 da Lei nº 13.709/18 (LGPD), os agentes de tratamento de dados – controladores e operadores – devem adotar as melhores práticas de segurança da informação aptas a proteger os dados dos titulares por situações ilícitas ou acidentais, perda ou tratamento inadequado."
0,"Os desdobramentos da decisão do ministro Edson Fachin, do Supremo Tribunal Federal (STF), que anulou os processos e condenações do ex-presidente Luiz Inácio Lula da Silva (PT) na Lava Jato em uma tentativa de blindar as demais ações abertas na esteira da operação, ainda estão sendo desenhados."
0,"A foto antiga de uma manifestação em Brasília contra o governo da ex-presidente Dilma Rousseff (PT) circula fora de contexto nas redes. A imagem foi compartilhada como se fosse atual, com o objetivo de inflar o apoio a Jair Bolsonaro nas manifestações em defesa do presidente neste domingo, 14. Este conteúdo recebeu ao menos 5,2 mil compartilhamentos no Facebook."
0,"Desde o final da Segunda Guerra Mundial, o multilateralismo ganhou força na arena global a partir do reconhecimento de que os problemas enfrentados pelos países estavam se tornando cada vez mais complexos e não confinados às fronteiras."
0,"Conforme anunciou em setembro ao incorporar a dimensão sustentabilidade na sua agenda, o Banco Central do Brasil publicou a primeira consulta pública com 2 propostas de resolução visando definir critérios de sustentabilidade do crédito rural e classificar o risco socioambiental de empreendimentos que visem acessá-lo."
0,"O ano desponta promissor para o pujante mercado de apostas esportivas e loterias estaduais, mas há pouca evolução na legalização de cassinos no Brasil."
0,"O recolhimento das contribuições destinadas ao chamado “Sistema S”, ao Instituto Nacional de Colonização e Reforma Agrária (INCRA) e ao financiamento do salário-educação não se trata de uma discussão recente. Ele se baseia em entendimentos jurisprudenciais diversificados, principalmente em face do posicionamento dos Tribunais Superiores."
0,"Tal repartição, portanto, meramente pragmática, não importa em vício, quando por alguma razão, o que caberia a um se processa e julga perante outro, tão competente quanto aquele."
0,"O ministro Alexandre de Moraes, do Supremo Tribunal Federal, suspendeu a eficácia da Lei 13.452/2017, que excluiu cerca de 862 hectares do Parque Nacional do Jamanxim, no Pará. O magistrado acolheu um pedido do PSOL e ponderou que alteração territorial em unidade de conservação não poderia ter sido realizada por meio de medida provisória – a lei questionada tem origem na MP 758/2016."
0,"Entretanto, é sabido que toda concessão ou a ampliação de um benefício tributário, como essa que resulta em renúncia de receita, deve ser compensada. Nesse sentido, foi editada nova medida provisória com o objetivo de majorar a Contribuição Social sobre o Lucro Líquido (CSLL) das instituições financeiras, alterar as regras de Imposto sobre Produtos Industrializados (IPI) para a compra de veículos por pessoas com deficiência e encerrar o Regime Especial da Indústria Química (REIQ)."
0,"Os desafios das mulheres no espaço público ainda são enormes! Para começar pela segurança, diariamente elas estão sujeitas a situações de assédio e agressão. Um espaço urbano mal iluminado, uma rua vazia ou um ônibus lotado são muito mais assustadores quando se é uma mulher. Segundo a pesquisa da Rede Nossa São Paulo “Viver em São Paulo – Mulher”, realizada em 2020, cerca de 43% das entrevistadas já foram vítimas de assédio no transporte coletivo, e 63% disseram já ter sofrido algum tipo de assédio, em diferentes situações. A insegurança de sair às ruas limita a presença das mulheres em diversas atividades urbanas."
0,"Recentemente, ante a pandemia da COVID-19, a discussão sobre do auxílio-funeral para colaboradores voltou a ser tema de debate e dúvidas por parte da sociedade em geral, especificamente sobre a responsabilidade empresarial e governamental."
0,"Outrossim, desproporcional e até indigna uma defesa com esse teor para a prática de um homicídio, ou melhor, um feminicídio."
